직급코드	공무원구분코드	직종	직종세분류코드	직군코드	직렬코드	직류코드	계급코드	직급명	폐지여부
19146	2	2	L	47	187	088	031	지방시설연구사(일반임기제)	0
19147	2	2	L	47	103	135	032	지방농촌지도관(일반임기제)	0
19148	2	2	L	47	103	114	032	지방농촌지도관(일반임기제)	0
19149	2	2	L	47	103	118	032	지방농촌지도관(일반임기제)	0
19150	2	2	L	47	103	044	032	지방농촌지도관(일반임기제)	0
19151	2	2	L	47	103	115	032	지방농촌지도관(일반임기제)	0
19152	2	2	L	47	103	050	032	지방농촌지도관(일반임기제)	0
19153	2	2	L	47	103	119	032	지방농촌지도관(일반임기제)	0
19154	2	2	L	47	103	136	032	지방농촌지도관(일반임기제)	0
19155	2	2	L	47	103	137	032	지방농촌지도관(일반임기제)	0
19156	2	2	L	47	103	086	032	지방농촌지도관(일반임기제)	0
19157	2	2	L	47	103	135	033	지방농촌지도사(일반임기제)	0
19158	2	2	L	47	103	114	033	지방농촌지도사(일반임기제)	0
19159	2	2	L	47	103	118	033	지방농촌지도사(일반임기제)	0
19160	2	2	L	13	184	213	030	지방기록연구관(일반임기제)	0
19161	2	2	L	09	056	096	016	지방통신주사(일반임기제)	0
19162	2	2	L	55	243	280	016	지방사육운영주사(일반임기제)	0
19163	2	2	L	55	243	280	017	지방사육운영주사보(일반임기제)	0
19164	2	2	L	55	243	280	018	지방사육운영서기(일반임기제)	0
19165	2	2	L	55	243	280	019	지방사육운영서기보(일반임기제)	0
19166	2	2	L	02	011	022	015	지방교육행정사무관(일반임기제)	0
19167	2	2	L	02	012	023	015	지방사회복지사무관(일반임기제)	0
19168	2	2	L	10	101	028	031	지방건축연구사(일반임기제)	0
19169	2	2	L	02	007	010	015	지방행정사무관(일반임기제)	0
19170	2	2	L	02	007	010	017	지방행정주사보(일반임기제)	0
19171	2	2	L	02	007	010	018	지방행정서기(일반임기제)	0
19172	2	2	L	02	007	010	019	지방행정서기보(일반임기제)	0
19173	2	2	L	02	008	019	016	지방세무주사(일반임기제)	0
19174	2	2	L	02	008	019	018	지방세무서기(일반임기제)	0
19175	2	2	L	02	008	019	019	지방세무서기보(일반임기제)	0
19176	2	2	L	02	011	022	016	지방교육행정주사(일반임기제)	0
19177	2	2	L	02	011	022	017	지방교육행정주사보(일반임기제)	0
19178	2	2	L	02	011	022	018	지방교육행정서기(일반임기제)	0
19179	2	2	L	02	011	022	019	지방교육행정서기보(일반임기제)	0
19180	2	2	L	02	012	023	016	지방사회복지주사(일반임기제)	0
19181	2	2	L	02	012	023	017	지방사회복지주사보(일반임기제)	0
19182	2	2	L	02	012	023	018	지방사회복지서기(일반임기제)	0
19183	2	2	L	02	012	023	019	지방사회복지서기보(일반임기제)	0
19184	2	2	L	02	054	168	016	지방전산주사(일반임기제)	0
19185	2	2	L	02	054	168	017	지방전산주사보(일반임기제)	0
19186	2	2	L	02	054	168	018	지방전산서기(일반임기제)	0
19187	2	2	L	02	054	168	019	지방전산서기보(일반임기제)	0
19188	2	2	L	02	018	029	015	지방사서사무관(일반임기제)	0
19189	2	2	L	02	018	029	016	지방사서주사(일반임기제)	0
19190	2	2	L	02	018	029	017	지방사서주사보(일반임기제)	0
19191	2	2	L	02	018	029	018	지방사서서기(일반임기제)	0
19192	2	2	L	02	018	029	019	지방사서서기보(일반임기제)	0
19193	2	2	L	05	083	191	031	지방농업연구사(일반임기제)	0
19194	2	2	L	05	083	192	031	지방농업연구사(일반임기제)	0
19195	2	2	L	02	196	226	016	지방직업상담주사(일반임기제)	0
19196	2	2	L	47	093	158	019	지방간호조무서기보(일반임기제)	0
19197	2	2	L	47	095	159	016	지방위생주사(일반임기제)	0
19198	2	2	L	47	095	159	017	지방위생주사보(일반임기제)	0
19199	2	2	L	47	095	159	018	지방위생서기(일반임기제)	0
19200	2	2	L	47	095	159	019	지방위생서기보(일반임기제)	0
19201	2	2	L	47	095	160	016	지방위생주사(일반임기제)	0
19202	2	2	L	47	095	160	017	지방위생주사보(일반임기제)	0
19203	2	2	L	47	095	160	018	지방위생서기(일반임기제)	0
19204	2	2	L	47	095	160	019	지방위생서기보(일반임기제)	0
19205	2	2	L	47	166	235	016	지방조리주사(일반임기제)	0
19206	2	2	L	47	166	235	017	지방조리주사보(일반임기제)	0
19207	2	2	L	47	166	235	018	지방조리서기(일반임기제)	0
19208	2	2	L	47	166	235	019	지방조리서기보(일반임기제)	0
19209	2	2	L	55	240	259	016	지방사무운영주사(일반임기제)	0
19210	2	2	L	55	240	259	017	지방사무운영주사보(일반임기제)	0
19211	2	2	L	55	240	259	018	지방사무운영서기(일반임기제)	0
19212	2	2	L	55	240	259	019	지방사무운영서기보(일반임기제)	0
19213	2	2	L	55	240	258	016	지방사무운영주사(일반임기제)	0
19214	2	2	L	55	240	258	017	지방사무운영주사보(일반임기제)	0
19215	2	2	L	47	083	239	030	지방농업연구관(일반임기제)	0
19216	2	2	L	47	083	239	031	지방농업연구사(일반임기제)	0
19217	2	2	L	47	103	117	032	지방농촌지도관(일반임기제)	0
19218	2	2	L	47	103	117	033	지방농촌지도사(일반임기제)	0
19219	2	2	L	13	077	105	030	지방학예연구관(일반임기제)	0
19220	2	2	L	13	077	106	030	지방학예연구관(일반임기제)	0
19221	2	2	L	13	077	107	030	지방학예연구관(일반임기제)	0
19222	2	2	L	13	077	105	031	지방학예연구사(일반임기제)	0
19223	2	2	L	13	077	106	031	지방학예연구사(일반임기제)	0
19224	2	2	L	13	077	107	031	지방학예연구사(일반임기제)	0
19225	2	2	L	05	083	113	030	지방농업연구관(일반임기제)	0
19226	2	2	L	05	083	113	031	지방농업연구사(일반임기제)	0
19227	2	2	L	47	169	230	019	지방시설서기보(일반임기제)	0
19228	2	2	L	47	169	230	018	지방시설서기(일반임기제)	0
19229	2	2	L	47	169	230	017	지방시설주사보(일반임기제)	0
19230	2	2	L	47	169	230	016	지방시설주사(일반임기제)	0
19231	2	2	L	47	169	230	015	지방시설사무관(일반임기제)	0
19232	2	2	L	02	054	168	015	지방행정사무관(일반임기제)	0
19233	2	2	L	55	227	248	016	지방토목운영주사(일반임기제)	0
19234	2	2	L	55	227	248	017	지방토목운영주사보(일반임기제)	0
19235	2	2	L	55	227	248	018	지방토목운영서기(일반임기제)	0
19236	2	2	L	55	227	248	019	지방토목운영서기보(일반임기제)	0
19237	2	2	L	13	077	104	030	지방학예연구관(일반임기제)	0
19238	2	2	L	13	077	104	031	지방학예연구사(일반임기제)	0
19239	2	2	L	13	079	108	030	지방편사연구관(일반임기제)	0
19240	2	2	L	13	079	108	031	지방편사연구사(일반임기제)	0
19241	2	2	L	05	087	044	030	지방잠업연구관(일반임기제)	0
19242	2	2	L	05	087	044	031	지방잠업연구사(일반임기제)	0
19243	2	2	L	55	240	258	018	지방사무운영서기(일반임기제)	0
19244	2	2	L	55	240	258	019	지방사무운영서기보(일반임기제)	0
19245	2	2	L	55	240	269	016	지방사무운영주사(일반임기제)	0
19246	2	2	L	55	240	269	017	지방사무운영주사보(일반임기제)	0
19247	2	2	L	47	198	094	016	지방방송통신주사(일반임기제)	0
19248	2	2	L	47	198	095	016	지방방송통신주사(일반임기제)	0
19249	2	2	L	47	198	096	016	지방방송통신주사(일반임기제)	0
19250	2	2	L	47	198	097	016	지방방송통신주사(일반임기제)	0
19251	2	2	L	47	198	094	017	지방방송통신주사보(일반임기제)	0
