직급_code,직급_value
03869,영화촬영요원(8급상당)
03870,촬영담당(5급상당)
03871,촬영요원(6급상당)
03872,촬영요원(7급상당)
03873,촬영요원(8급상당)
03874,영화편집요원(8급상당)
03875,편집담당(5급상당)
03876,편집요원(6급상당)
03877,편집요원(7급상당)
03878,편집요원(8급상당)
03879,외국어훈련담당관(4급상당)
03880,외국어훈련담당관(5급상당)
03881,외국인안내담당(7급상당)
03882,외신담당(5급상당)
03883,우편관리요원(6급상당)
03885,위원(1급상당)
03886,위원(2급상당)
03887,위원(3급상당)
03888,위험물취급요원(7급상당)
03889,유물보존처리담당(5급상당)
03890,유물보존처리담당(6급상당)
03891,유물담당(7급상당)
03892,의료감시담당(5급상당)
03893,의료감시원(6급상당)
03894,의료감시원(7급상당)
03895,의료관리담당(5급상당)
03896,의료기사(6급상당)
03897,의료시설기사(6급상당)
03898,의료장비담당(5급상당)
03899,의료장비요원(6급상당)
03900,의무기록사(8급상당)
03901,의전담당(5급상당)
03902,의전담당(6급상당)
03903,의전담당(7급상당)
03904,인사기록담당(5급상당)
03905,인쇄담당(5급상당)
03906,임상심리요원(6급상당)
03907,자료분석원(6급상당)
03908,자료분석원(7급상당)
03909,자료정리원(7급상당)
03911,자료실정리담당(6급상당)
03912,자료실정리담당(7급상당)
03913,자료정리요원(8급상당)
03914,자료정리담당(6급상당)
03915,자료통계담당(7급상당)
03916,자료편집원(6급상당)
03917,자료편집원(7급상당)
03918,자료편찬요원(6급상당)
03919,자재요원(6급상당)
03920,작업치료사(6급상당)
03921,작업치료요원(6급상당)
03922,작품보존수복담당(5급상당)
03923,장치미술담당(6급상당)
03924,장치미술담당(7급상당)
03925,장치미술담당(8급상당)
03926,재산관리요원(6급상당)
03927,적성검사관(4급상당)
03928,적성검사관(5급상당)
03929,적성검사원(6급상당)
03930,적성검사담당(6급상당)
03931,전기담당(5급상당)
03932,전기요원(6급상당)
03933,전기요원(7급상당)
03934,전기요원(8급상당)
03935,전문위원(2급상당)
03936,전문위원(3급상당)
03937,전산처리관(5급상당)
03938,전산처리사(6급상당)
03939,전산처리사보(7급상당)
03940,전산처리원(8급상당)
03941,전산처리원보(9급상당)
03942,전산처리담당(5급상당)
03943,전산처리담당(7급상당)
03944,전산처리담당(8급상당)
03945,전산처리담당(9급상당)
03946,전자계산요원(6급상당)
03947,전자계산요원(7급상당)
03948,전자계산요원(8급상당)
03949,전자계산요원(9급상당)
03950,전자계산요원(5급상당)
03951,전산처리요원(6급상당)
03952,전산처리요원(7급상당)
03953,전산처리요원(8급상당)
03954,전산처리요원(9급상당)
03955,전산기획담당(4급상당)
03956,전산분석관(4급상당)
03957,업무분석관(4급상당)
03958,정원관리담당(5급상당)
03959,정원담당(6급상당)
03960,제도담당(5급상당)
03961,제도요원(6급상당)
03962,조경담당(6급상당)
03963,조경담당(7급상당)
03964,조경요원(8급상당)
03965,조리사(6급상당)
03966,조명음향담당(6급상당)
03967,조명음향담당(7급상당)
03968,조명음향담당(8급상당)
03969,조명음상담당(6급상당)
03970,조명음상담당(7급상당)
03971,조명음상담당(8급상당)
03972,조명요원(7급상당)
03973,조명요원(8급상당)
03974,조사분석원(6급상당)
03975,조사연구담당(5급상당)
03976,조사연구원(6급상당)
03977,조사연구원(7급상당)
03978,조사연구원(8급상당)
03979,직업분석담당(6급상당)
03980,직업훈련교사(5급상당)
03981,직업훈련교사(6급상당)
03982,직업훈련교사(7급상당)
03983,직업훈련지도원(6급상당)
03984,직업훈련지도원(7급상당)
03985,차관업무담당(5급상당)
03986,차량관리담당(7급상당)
03987,체력관리요원(7급상당)
03988,총포감정관(5급상당)
03989,총포감정담당(6급상당)
03990,탐지견관리요원(5급상당)
